5f9d981b7c6f5cdacc565aa5,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ALL BRAN WHEAT FLAKES,-,1 pkt,TRUE,205,205
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Almond And Honey Corn Flakes Box,-,1 pkt,TRUE,170,170
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,britania milk bread 450g,-,1 pkt,TRUE,35,35
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,britania milk bread 450g,-,1 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,britannia bread multi granin bread,-,1 pkt,TRUE,45,45
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,britannia brown bread,-,3 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Britannia Brown Bread 450G,-,1 pc,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Britannia Fruit Bread 200G,-,1 pc,TRUE,23,23
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Britannia Milk Slice Bread 200G,-,1 pc,TRUE,20,20
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Britannia Milk Slice Bread 400G,-,1 pc,TRUE,35,35
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Britannia Multi Grain Bread 400G,-,1 pc,TRUE,45,45
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BUTTER BREAD RUSKIT,-,1 pkt,TRUE,30,30
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Butter Bread RUSKIT,-,1 pc,TRUE,10,10
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,butterbread ruskit,-,1 pkt,TRUE,30,30
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,butterbread ruskit rs10,-,1 pkt,TRUE,10,10
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,cereal pellets,-,1 pc,TRUE,35,35
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CORN  FLAKES  R  H  300g,-,1 pkt,TRUE,140,140
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Corn Flakes  275gm,-,1 pkt,TRUE,95,95
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CORN FLAKES 70G,-,1 pkt,TRUE,20,20
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CORN FLAKES 99rs Pack,-,1 pkt,TRUE,99,99
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CORN FLAKES KESAR PISTA BADAM,-,1 pkt,TRUE,160,160
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CORN FLAKES ORIGINAL & THE BEST WITH IRON SHAKTI,-,1 pkt,TRUE,310,310
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CornFlakes Real Strawberry 300g,-,1 pc,TRUE,140,140
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Every Day Brown Bread,-,1 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Every Day Milk Bread,-,1 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Every Day WW Bread,-,1 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,fruitbread,-,1 pkt,TRUE,23,23
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gholden Bite Milk Bread,-,1 pkt,TRUE,35,35
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Golden Bite Fruit Bread,-,1 pc,TRUE,23,23
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Golden Bite Milk Bread,-,1 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Golden Bite Milk Bread,-,1 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Golden Bite Milk Bread,-,1 pc,TRUE,35,35
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Golden Bite Milk Bread Small,-,1 pkt,TRUE,20,20
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Golden Bite PREM Brown Bread,-,1 pc,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Golden Bite PREM Milk Bread,-,1 pc,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Golden Bite Sandwhich Bread,-,1 pc,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogg's Chocos CEREAL,-,1 pc,TRUE,55,55
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogs Corn Flakes,-,1 pc,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kellogs Corn Flakes Badam,-,1 pkt,TRUE,65,65
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MILK BREAD,-,1 pc,TRUE,35,35
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sandwich bread,-,1 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,sandwich bread,-,1 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,sandwich bread,-,1 pkt,TRUE,35,35
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sandwich Bread 400G,-,1 pc,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"spencer,s brown bread400gm",-,1 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,"spencer,s milk bread 400gm",-,3 pkt,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spencer's Whole Meal Brown Bread,-,1 pc,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spencers  Premium Milk Bread,-,1 pc,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Spencers Whole Wheat Bread-,-,1 pc,TRUE,40,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sweet Bread,-,1 pc,TRUE,35,35
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,V CARE MOUSTACHE&BREAD,-,1 pkt,TRUE,25,25
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Wheat Bread- 1pc,-,1 pc,TRUE,0,40
5f9d981b7c6f5cdacc565aa5,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,,-,,TRUE,,