5fa2e89a616c2500174a5333,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NAME,product_desctiption,UOM,Is veg,Harvest Price,MRP
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ASBrand gingely  1 L,-,1l,TRUE,333,333
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ASBrand gingely  500ml,-,500ml,TRUE,169,169
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,cold pressed sunflower oil,-,1l,TRUE,130,130
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,COW GHEE 500ML HERITAGE,-,500ml,TRUE,299,299
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg, HERITAGE Buff GHEE 500M,-,500ml,TRUE,299,299
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dabur Honey 130g,-,130 G,TRUE,62,62
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dabur Honey 225G Sqeezee 1+1 offer,-,225 G,TRUE,160,160
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dabur Honey 500gCPv20%extra Promo,-,500 G,TRUE,199,199
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dabur Honey 50g-,-,50 G,TRUE,37,37
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Dabur Honey Squeezy 400g Buy 1 Get 1 Free,-,400 G,TRUE,290,290
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Del Monte Extra Virgin olive oil,-,500 ml,TRUE,850,850
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Durga 100 Ml,-,100 ml,TRUE,67,67
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Durga 200 Ml POUCH,-,200 ml,TRUE,132,132
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Durga Ghee 50 ml,-,50 ml,TRUE,34,34
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Durga Ghee 500 ml POUCH,-,   500 ml,TRUE,325,325
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fortune Mustard Oil500ml,-,500 ml,TRUE,91,91
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Fortune Refined Sf Oil 1ltr,-,1 L,TRUE,135,173
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,FREEDOM  GROUNDNUT OIL 1LT,-,1 L,TRUE,150,200
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,FREEDOM RICE BRAIN OIL 1 LT,-,1 L,TRUE,123,123
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,FREEDOM SF OIL  5LTR CAN,-,5 L,TRUE,710,710
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Freedom SF OIL 1litre,-,1 L,TRUE,125,150
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,FREEDOM SF OIL PET BOTTLE,-,1 L,TRUE,153,153
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gold Drop 5Litres Can,-,5 L  ,TRUE,650,821
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gold Drop Oil 5L,-,5 L  ,TRUE,821,821
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Gold Drop Sunflower Oil- 1ltr,-,1 L,TRUE,125,171
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Golddrop 15litres Can,-,15 L,TRUE,1660,1660
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Golddrop SF 1litre,-,1 L,TRUE,115,115
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Grb Buff Ghee,-,1 L,TRUE,663,663
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB BUFF Ghee 200ml,-,200 ML,TRUE,142,142
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB BUFF GHEE 500 ML Jar,-,500 ML,TRUE,337,337
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB COW Ghee 100ML,-,100 ML,TRUE,78,78
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB Cow Ghee 1lit,-,1 L,TRUE,663,663
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB COW Ghee 200ML,-,200 ML,TRUE,137,137
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,GRB COW GHEE 500ML,-,500 ML,TRUE,337,337
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Lion Kashmir Honey 250G 1 + 1,-,250 G,TRUE,137,137
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,mangalam 450ml,-,450 ML,TRUE,69,80
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mangalmai Poojaoil 900ml Petbtle,-,950 ML ,TRUE,125,150
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Milky Mist Ghee 500ml,-,500 ML,TRUE,335,335
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,OLEEV Health OIL 1L,-,1 L,TRUE,130,159
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,OLEEV ACTIVE OIL 1L,-,1 L,TRUE,185,185
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,OLEEV POMACE OLIVE OIL 1 LTR,-,1 L,TRUE,899,899
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,OLEEV SAMART OIL 1LT,-,1 L,TRUE,145,145
5fa2e89a616c2500174a5333,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,PALMOLEIN OIL 1ltr,product_desctiption,1 L,Is veg,112,112
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Patanjali Honey 100g,-,100 G,TRUE,36,36
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,patanjali honey kg,-,1 KG,TRUE,315,315
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,PATANJALI PURE HONEY 250G,-,250 G,TRUE,75,75
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Priya Rice Rich Oil 1liter,-,1 L,TRUE,130,138
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SAFFOLA GOLD 5 LTR JAR-Free 1worth of 159,-,5 L,TRUE,825,825
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SAFFOLA TASTY 1L,-,1 L,TRUE,110,120
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Saffola Tasty 5Litre Can,-,5 L  ,TRUE,610,610
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Safola Gold oil 1litre,-,1 L ,TRUE,139,159
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SUNDROP 5L,-,5 L,TRUE,1015,1015
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,sundrop Superlite Advanced oil 1lit   ,-,1 L,TRUE,200,200
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,SUNDROP REFINED 3 LTR BOTTLE,-,3 L,TRUE,614,614
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,TEZ MUSTARD OIL - 500ML,-,500 ML,TRUE,90,90
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vijaaya SF OIL 1 Ltr,-,500 ML,TRUE,125,134
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vijaya Ghee500ml,-,500 ML,TRUE,259,259
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vijaya Groundnet Oil 1litre,-,1 L,TRUE,172,172
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vijaaya SF OIL 1 Ltr,-,1l,TRUE,125,134
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vijaya Ghee500ml,-,500ml,TRUE,259,259
5fa2e89a616c2500174a5333,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Vijaya Groundnet Oil 1litre,-,1l,TRUE,172,172