5fabac3639b40d1e26b3b484,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,NAME,product_desctiption,UOM,Is veg,Harvest Price,MRP
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,BANDHANI HING 25g,-,25 G,TRUE,40,40
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Giloy Juice,-,500 ML,TRUE,90,90
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Patanjali Honey 500grams,-,500 G,TRUE,165,165
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Basmatirice Gold 1kg,-,1 KG,TRUE,125,125
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,KESH KANTI NATURAL 200ML,-,200 ML,TRUE,75,75
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,KESH KANTI MILK PROTEIN 200ML,-,200 ML,TRUE,95,95
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,ALMOND HAIR OIL 200 ML,-,200 ML,TRUE,95,95
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pat.tejus Tailum Oil 100ml,-,100 ML,TRUE,60,60
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kesh Kanthi Silk & Shine,-,200  ML,TRUE,80,80
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,kesh Kanthi Milk Protein  200ml,-,200  ML,TRUE,85,85
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,PATANJALI DANT KANTI 100G,-,100 g,TRUE,45,45
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,High Nutri Soya Chunks,-,220 G,TRUE,40,40
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Kachhi Ghani Mustard Oil 1ltr,-,1 L,TRUE,145,145
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,patanjali soap haldi kanti,-,20 G,TRUE,30,30
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Patanjali Swasari Coronil Kit,-,1 Pc,TRUE,549,549
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Patanjali Anti Dandruff Hair Cleanser 200ml,-,200 ml,TRUE,110,110
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Patanjali Honey 100g,-,100 g,TRUE,36,36
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,patanjali honey kg,-,1 kg,TRUE,315,315
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,PATANJALI PURE HONEY 250G,-,250 gm,TRUE,75,75
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Patanjali Cow Ghee  1 Litre,-,1 l,TRUE,565,565
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Patanjali Cow Ghee 500 ml,-,500 ml,TRUE,295,295
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Patanjali Cow Ghee 200 ml,-,200 ml,TRUE,125,125
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Patanjali Chyawanprash 1KG,-,1  kG,TRUE,260,260
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Patanjali Chyawanprash 500 gms,-,500gm,TRUE,135,135
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Patanjali Kali Mirchi Papad,-,200gm,TRUE,50,50
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Patanjali Channa  Papad 200 gms,-,200gm,TRUE,50,50
5fabac3639b40d1e26b3b484,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Patanjali Bura Sugar 1 kg,-,1 kg,TRUE,70,70