5fad1c90f5fdf9001782771a,type,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Name,product_desctiption,UOM,Is veg,Harvest Price,0
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sri Lalitha Brown Rice 5Kg Bag,-,5 kg,TRUE,350,350
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,sonamsaorice,-,1 kg,TRUE,60,60
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MAATEJA HMT RICE 25KG,-,25 kg,TRUE,1500,1500
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Srilalitharice10kg,-,10 kg,TRUE,700,700
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sri Lalitha 5 Kg,-,5 kg,TRUE,375,375
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mahateja Rice 25kg,-,25 kg,TRUE,1400,1400
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cow Rice 25kg,-,1 kg,TRUE,1500,1500
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Basmati Daawat Tradational  1kg,-,1 kg,TRUE,210,210
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Sona masori rice 1kg,-,1 kg,TRUE,69,69
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Basmati Rice Rozana Gold,-,1 kg,TRUE,99,99
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Devaaya Basmati Rice 1 Kg,-,1 kg,TRUE,110,110
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,DAAWAT DUBAR BASMATI RICE 1KG,-,1 kg,TRUE,120,120
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Biryani Basmati Rice Daawat 1kg,-,1 kg,TRUE,220,220
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Boiled Rice 1kg,-,1 kg,TRUE,57,57
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Basmati Rice Super Daawat 1kg+250g,-,1 kg,TRUE,165,165
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Basmati Rice Pulav 1kg,-,1 kg,TRUE,120,120
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Moto Poha 500G,-,500 g,TRUE,40,40
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Brownrice1kg,-,1 kg,TRUE,71,71
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Basmathi Classic Rice Srilaitha 1kg,-,1 kg,TRUE,150,150
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,VSR Motopoha 1kg,-,1 kg,TRUE,80,80
5fad1c90f5fdf9001782771a,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Makkai Poha 400 G,-,400 g,TRUE,40,40