5f96ed37b6627a0017e7882c,type,Image,Product Name,product_desctiption,U.O.M,Is veg,Harvest Price,MRP
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Ambika Sambrani Powder,-,1 pc,TRUE,40,40
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,astagandham 30gms,-,1 pc,TRUE,15,15
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Camphor swaathi 10G,-,1 pkt,TRUE,18,20
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cycle 3 in 1 Rs.30,-,1 pkt,TRUE,30,30
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cycle Poojaoil 500ml,-,1 pc,TRUE,78,78
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CYCLE SANDALUM,-,1 pc,TRUE,50,50
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,CYCLE Sandalum Cones,-,1 pc,TRUE,10,10
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Cycle three in one,-,1 pkt,TRUE,50,50
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,cycle threecin one 100,-,1 pkt,TRUE,100,100
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,deepam 365 vathulu,-,1 pc,TRUE,25,25
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,deepam vathulu puvu,-,1 pkt,TRUE,15,15
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,deepamakandavathulu,-,1 pc,TRUE,25,25
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,deepamvathulu,-,1 pkt,TRUE,20,20
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Harvest Eco-Friendly Pooja Basket,-,1 pkt,TRUE,799,799
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,jasmine pooja oil 1 litre,-,1 btl,TRUE,150,168
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mangaldeep Rose Chandan,-,1 pkt,TRUE,50,50
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mangalmai poojaoil 450ml Pch,-,1 pkt,TRUE,59,63
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mangalmai Poojaoil 900ml Petbtle,-,1 btl,TRUE,112,114
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Mangalmai Poojaoil 900ml Petbtle,-,1 btl,TRUE,125,150
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,MD Treya Cup SambrNi,-,1 pc,TRUE,75,75
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,OM SHANTI CAMPHROS,-,1 pc,TRUE,50,50
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,omshanti 500ml,-,1 btl,TRUE,80,85
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,omshanti camphor,-,1 pkt,TRUE,20,20
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,pachakarpuram,-,1 pc,TRUE,50,50
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Pooja Gingelly Oil  1 Lt,-,1 btl,TRUE,175,175
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,swaathi kumkum,-,1 pc,TRUE,5,5
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,swaathi turmeric powder,-,1 pkt,TRUE,5,5
5f96ed37b6627a0017e7882c,product,https://res.cloudinary.com/djejqfi6y/image/upload/v1603696601/product-4736_muskmelon__kundan-500x500_osrfdb.jpg,Swastik pure camphor 10gm,-,1 pkt,TRUE,20,20